Name,Provenance ,TESS Sectors,TIC ID,Rotation Period,Flares?,Type,Notes,Other Names
G 131-26,Pritchard RACS,None,,,,,,LP 404-33
CS Cet,Pritchard RACS,"3, 30",268636197,,,,,
UPM J0250-0559,Pritchard RACS,"4, 31",36838798,,,,No Short Cadence,
LP 771-50,Pritchard RACS,"4,31",98727246,,,,,
CD-44 1173,Pritchard RACS,"3,4,30,31",79566479,,,,,
UPM J0409-4435,Pritchard RACS,"1,4,5",152475404,,,,,
V833 Tau,Pritchard RACS,None,,,,,,
YZ CMi,Pritchard RACS,"7,34",266744225,,,,,
G 41-14,Pritchard RACS,"8,34",283784587,,,,,
MV Vir,Pritchard RACS,None,,,,,,
G 165-61,Pritchard RACS,23,173167096,,,,,
CD-38 11343,Pritchard RACS,12,341660524,,,,,
UCAC4 312-101210,Pritchard RACS,None,,,,,,
Ross 867,Pritchard RACS,"14,25,26",257798328,,,,,
G 183-10,Pritchard RACS,None,1506063766,,,,, GJ 4032
SCR J1928-3634,Pritchard RACS,"13,27",269451622,,,,,
Ross 776,Pritchard RACS,15,25266621,,,,25266623 is 21 arcsec away,
SCR J2241-6119,Pritchard RACS,"1,27,28",232064182,,,,,
HR 1099,Pritchard RACS,None,,,,,,
V1154 Tau,Pritchard RACS,None,,,,,,
xi UMa,Pritchard RACS,22,900080355,,,,also TIC 144294174,
BH CVn / HR 5110,Pritchard RACS,23,22817261,,,,Also in Callingham,
V851 Cen,Pritchard RACS,None,,,,,,
KZ Pav,Pritchard RACS,13 long cad,eleanor,,,,,
rho Oph S1,Pritchard RACS,None,,,,,,GSS 35
EM* SR 20,Pritchard RACS,None,,,,,,
k2 Pup,Pritchard RACS,7,110798652,,,,also 110798661 confusion,HR 2949
OY Vel,Pritchard RACS,"8,9,35,36",401478684,,,,a2 CVn,
V863 Cen,Pritchard RACS,10,333670665,,,,,
CU Vir,Pritchard RACS,None,,,,,,
V1040 Sco,Pritchard RACS,None,,,,,,
HD 32595,Pritchard RACS,FFI only,,,,,,
Castor A,Pritchard RACS,FFI only,,,,,,
LP 594-2,Edwards RACS,,,,,,,
2MASS J00165001-0710157,Edwards RACS,,,,,,,
WOH-S2,Edwards RACS,,,,,,,
LSPM J0738+2400,Edwards RACS,,,,,,,
UCAC4 286-055510,Edwards RACS,,,,,,,
 CD-33 7795,Edwards RACS,,,,,,,
2MASS~J11402076-3305190,Edwards RACS,,,,,,,
2MASS~J12250148-5216145,Edwards RACS,,,,,,,
2MASS~J12522284-6418389,Edwards RACS,,,,,,,
2MASS~J14144308+2616397,Edwards RACS,,,,,,,
LP 325-68,Edwards RACS,,,,,,,
UCAC4 444-118477,Edwards RACS,,,,,,,
2MASS J18040683-1211342,Edwards RACS,,,,,,,
HD 22468,O'Brien VAST-P1,,,,,,,
HD 24681,O'Brien VAST-P1,,,,,,,
V* EI Eri,O'Brien VAST-P1,,,,,,,
V* SZ Psc,O'Brien VAST-P1,,,,,,,
SDSS J020648-061416,Pritchard VAST-P1,,,,,,,
2MASS J20390476-4117390,Pritchard VAST-P1,,,,,,,
G124-44,Pritchard VAST-P1,,,,,,,
2MASS J05263106-6022389,Pritchard VAST-P1,,,,,,,
UCAC3 89-412162,Pritchard VAST-P1,,,,,,,
2MASS J01435796-0149304,Pritchard VAST-P1,,,,,,,
2MASS J22174785-0300389	,Pritchard VAST-P1,,,,,,,
LEHPM 2-783,Pritchard VAST-P1,,,,,,,
[W60] D43,Pritchard VAST-P1,,,,,,,
2MASS J19551247+0045365,Pritchard VAST-P1,,,,,,,
 LP 610-59,Pritchard VAST-P1,,,,,,,
SCR J0533-4257,Pritchard VAST-P1,,,,,,,
2MASS J12362323-0745078	,Pritchard VAST-P1,,,,,,,
AB Dor A,Pritchard VAST-P1,,,,,,,
2MASS 10531523-0859414	,Pritchard VAST-P1,,,,,,,
UCAC4 444-053715,Pritchard VAST-P1,,,,,,,
HD 115247,Pritchard VAST-P1,,,,,,,
CD-56  1032B,Pritchard RACS (2nd pass),,,,,,,
CCDM J05297-0048AB,Pritchard RACS (2nd pass),,,,,,,
Ross  614,Pritchard RACS (2nd pass),,,,,,,
Gaia DR2 2930889294867085440,Pritchard RACS (2nd pass),,,,,,,
HD  67951,Pritchard RACS (2nd pass),,,,,,,
WT 2458,Pritchard RACS (2nd pass),,,,,,,
PM J17021-2740,Pritchard RACS (2nd pass),,,,,,,
UCAC3 152-281176,Pritchard RACS (2nd pass),,,,,,,
bet Aql B,Pritchard RACS (2nd pass),,,,,,,
