# tic,pred,gt,tpeak
55269690,0.002443,0.000000,1332.7376590932
201795667,1.000000,1.000000,1373.0537959925
80453023,0.004676,0.000000,1374.3399511709
161172848,0.005964,0.000000,1343.1752241131
231122278,0.006328,0.000000,1340.0770763736
25132694,0.006166,0.000000,1355.0857187085
31740375,0.999972,1.000000,1351.1931630078
31852565,0.000041,0.000000,1332.3193510130
220557560,0.915850,1.000000,1345.0766190177
31740375,0.000132,0.000000,1380.7584138286
206592394,0.977557,1.000000,1379.2987127439
55604222,0.003568,0.000000,1334.6667401545
55604222,0.004750,0.000000,1354.2503643669
126945045,0.000003,0.000000,1352.8603630633
147302016,0.007396,0.000000,1352.5823779185
141212720,0.003575,0.000000,1365.9614477774
33881250,1.000000,1.000000,1333.5941802700
80337451,1.000000,1.000000,1371.3402740405
167417695,0.000385,0.000000,1363.4566531718
140859822,0.000582,0.000000,1374.6143045670
92254719,0.000189,0.000000,1337.9930330457
38586438,1.000000,1.000000,1326.8004163350
234998454,0.000000,0.000000,1331.3284604784
201252826,0.000115,0.000000,1332.9923404537
152088075,0.000957,0.000000,1361.7899155152
155991217,0.037585,1.000000,1362.5664419759
140045538,0.925225,1.000000,1349.3933785235
166739932,1.000000,1.000000,1360.6969203030
32036415,0.001284,0.000000,1364.2858985379
177313167,0.000535,0.000000,1372.9482956151
80055369,0.000023,0.000000,1331.0497698091
152088075,1.000000,1.000000,1379.8136475975
201248233,0.001032,0.000000,1356.2745294675
52194976,0.000002,0.000000,1363.4593098253
218973487,0.004724,0.000000,1355.9273817561
167696018,0.046316,0.000000,1340.0756381821
50313171,1.000000,1.000000,1364.4654985814
167524310,0.007554,0.000000,1346.5064369962
167207566,0.000443,0.000000,1380.4718748669
129646813,0.000002,0.000000,1352.7243788852
197790801,0.008617,0.000000,1378.3074550700
206473269,0.032585,0.000000,1329.4108924984
38824355,0.000043,0.000000,1366.2549538615
206327047,0.001172,0.000000,1375.1759350385
206624740,0.003857,0.000000,1379.0603811055
139328314,0.007202,0.000000,1370.7111832624
207080123,0.002380,0.000000,1346.9856852037
206473269,0.036738,0.000000,1329.9900758589
232073492,0.000151,0.000000,1328.8728459866
167207809,0.997392,1.000000,1379.0329866008
92630250,1.000000,1.000000,1327.3597333641
41898474,0.999999,1.000000,1376.4150324840
144458200,0.004797,0.000000,1327.4212301261
224244458,0.029080,0.000000,1361.7895751922
220436250,0.000446,0.000000,1360.3990244741
12423835,0.005894,0.000000,1376.6176399123
176980970,0.000547,0.000000,1330.4889296466
12377787,0.000048,0.000000,1375.4550330802
204322922,0.995708,1.000000,1379.2538413582
144458200,0.004859,0.000000,1336.0546730292
201860787,0.230228,0.000000,1363.7537810462
50274085,0.000000,0.000000,1374.8932218966
41898474,0.011157,0.000000,1366.9496299956
231831315,0.000734,0.000000,1363.4595668669
231090784,1.000000,1.000000,1352.8479289112
79301672,0.001772,0.000000,1336.6130493597
218973487,0.000072,0.000000,1364.8634814705
141807839,0.001396,0.000000,1372.6207650838
102071750,0.000347,0.000000,1372.8107268018
211354464,0.000789,0.000000,1325.7179034482
197866266,0.000268,0.000000,1372.1543753124
12474920,0.001239,0.000000,1357.7812220145
201858667,0.000092,0.000000,1370.4080065595
219325965,0.892798,1.000000,1337.9695925375
120609299,1.000000,1.000000,1372.7184273908
9210746,0.002772,0.000000,1363.4040674577
207199350,0.002680,0.000000,1355.0864048316
220408233,0.000602,0.000000,1340.0766410379
139131482,0.010107,0.000000,1333.8295291185
25132999,0.999009,1.000000,1369.8675786764
80453023,0.001964,0.000000,1359.5676918477
220429097,0.000004,0.000000,1364.2852390020
231857003,0.000114,0.000000,1376.5606181750
231828950,0.000008,0.000000,1378.2526216606
201226029,0.000000,0.000000,1347.1483636071
142107618,0.000002,0.000000,1336.3268118860
140069261,0.003808,0.000000,1346.2544937330
139300806,0.032375,0.000000,1374.0626536963
117874958,0.000030,0.000000,1365.8224556100
92500085,0.001131,0.000000,1332.2027121222
149019616,0.027938,0.000000,1378.7826842472
88246378,0.000324,0.000000,1352.1366323067
197961755,1.000000,1.000000,1343.4541707535
99566892,0.000986,0.000000,1331.9125934628
52019004,0.000750,0.000000,1337.9372054684
141271216,0.000000,0.000000,1374.8918945426
25153167,0.000003,0.000000,1330.4898049032
209396749,0.002856,0.000000,1344.5889075227
70742156,0.000388,0.000000,1369.5786511411
38634790,0.000004,0.000000,1371.5564802911
177115978,0.001351,0.000000,1350.8690940158
66501697,0.000969,0.000000,1363.7581534432
25353710,0.000064,0.000000,1328.5526383672
224272527,0.999994,1.000000,1362.2477529237
201898220,0.118354,0.000000,1371.5648975257
55453391,0.026001,0.000000,1371.5562329921
33949202,0.999987,1.000000,1364.3412816512
215197039,1.000000,1.000000,1337.7423459539
220539110,0.003943,0.000000,1371.7380317270
220481179,0.000006,0.000000,1347.1084254550
12471629,0.001987,0.000000,1371.5607068984
117512124,0.015962,0.000000,1327.0308630005
167524310,0.001947,0.000000,1351.1480890177
12423835,0.001205,0.000000,1379.6190121944
41862041,0.000124,0.000000,1365.1024156065
41862041,0.001049,0.000000,1376.2831263526
129646813,0.000897,0.000000,1331.6218902065
55291546,0.011055,0.000000,1325.7126272737
115151897,0.004294,0.000000,1330.4941805888
40183989,0.027304,0.000000,1380.1725880964
224225152,0.999758,1.000000,1374.5768510190
220481179,0.000081,0.000000,1329.4039642765
220557560,0.000439,0.000000,1380.9767546660
161356637,0.004038,0.000000,1351.1542678940
167164775,0.263908,0.000000,1351.4361059791
230982053,0.000041,0.000000,1373.5556545811
55663720,0.001697,0.000000,1366.2532655478
38461453,0.000015,0.000000,1328.5632045183
55848120,1.000000,1.000000,1379.3963537968
142107618,0.000042,0.000000,1357.0639952087
180872017,0.016052,0.000000,1378.7821114870
9102812,0.014958,0.000000,1378.2553517920
176873028,1.000000,1.000000,1344.5638973636
126945045,0.000121,0.000000,1351.4409607628
232073219,1.000000,1.000000,1331.3867556679
224244458,0.019108,0.000000,1380.4795716438
137801807,0.000014,0.000000,1365.6972136788
231867117,0.008851,0.000000,1345.9628584804
218973487,1.000000,1.000000,1370.3259254911
229807000,0.999994,1.000000,1336.0517642076
231631020,0.029044,0.000000,1337.1739574674
179040607,0.026993,0.000000,1334.9475765712
230982053,0.084240,0.000000,1361.1111885385
176873028,0.065779,0.000000,1376.9843648790
206473269,0.029972,0.000000,1339.8041763858
220523369,0.003307,0.000000,1376.9447734645
139285666,0.010570,0.000000,1365.9655816312
150393064,0.996718,1.000000,1332.3381091955
206623351,0.000007,0.000000,1379.8958841716
220432563,0.019990,0.000000,1375.4589890030
12423835,0.002307,0.000000,1355.6479332382
32090581,0.000292,0.000000,1327.1190197204
102064049,0.000068,0.000000,1357.9065256126
220557560,0.000139,0.000000,1331.5889052180
206649739,0.000000,0.000000,1357.6663572795
206542524,0.011258,0.000000,1358.1892984998
141212720,0.629123,0.000000,1375.2849706742
219339932,0.004242,0.000000,1378.2534605661
29257288,0.031059,0.000000,1327.4515121548
224244458,0.031510,0.000000,1377.4004830475
41112771,0.837019,1.000000,1333.0958928541
220407530,1.000000,1.000000,1381.3731194316
80055369,0.001747,0.000000,1327.4232952857
12471629,0.018870,0.000000,1360.1244169706
139300891,0.015143,0.000000,1369.3002607827
38698751,0.000088,0.000000,1380.4731390430
