,tic_tess_id,tic_ra,tic_dec,tic_Tmag,bjd0,period,morph_coeff
19,198008281,60.2664045775393,-54.4061916226106,7.878,1386.1009468298632,0.1315586891148137,0.74051905
32,358022169,193.655646733763,-80.0728690897991,9.392,1597.2595354952807,0.1516227924434038,0.55336297
46,271058763,132.309802754961,-42.3324409423487,8.2443,1517.6349258233124,0.1854963175205222,0.7261546
49,412942849,204.57124990179,-55.5716840138999,9.7714,1598.002993648698,0.1903048336562376,0.6235531
66,290170195,31.9463845013006,-15.3460565019146,8.38249,1386.0669195545968,0.2089138007547253,0.7351848000000001
67,231833204,24.1300745213344,-65.0016460774411,9.0505,1325.4877008389683,0.2089770075287983,0.6417384
68,120393264,280.776624001192,-56.2965469847575,8.6448,1654.0113650641156,0.2093105187177429,0.6476618000000001
70,20095466,89.2266376533771,-36.0753062975971,9.4941,1438.1848441430125,0.211849665213184,0.43671924
96,118826280,11.1257504760605,-36.1081167497382,9.0646,1354.2462688846929,0.2465250178750169,0.72003746
107,268652258,17.4407262377131,-20.2165011404517,9.1,1385.9938898731,0.2564873927594894,0.72068214
117,49175300,165.295248308394,-31.5468358629775,9.5414,1544.4105178285574,0.2641902150014514,0.88814807
125,251829135,6.41862792011871,-34.8289378889933,9.1536,1354.263768617169,0.2686420528682191,0.73669446
139,219145901,89.392614,-51.729497,9.665,1411.0608331696994,0.272938579918743,0.87993586
142,185466937,232.36195,-28.84776,7.964,1600.1322787258432,0.2743782453512882,0.8375931999999999
151,94637805,177.787916005209,-51.8756992727478,7.743,1570.7884209745994,0.2768891304450537,0.7855724000000001
159,405533713,202.443160305033,-32.3338675065134,9.2331,1600.252557226497,0.2799591510611335,0.7632363
170,394596952,348.754729944231,-63.5734915524077,8.8944,1326.3746326463695,0.2838156306662636,0.9233215
182,411712609,219.085066512082,-55.2581607442736,9.8624,1598.2424880112342,0.2902786247891946,0.96870995
187,124369049,256.130816633367,-46.8127525990616,9.6402,1628.0071019577497,0.2917353535127721,0.75877416
188,402107145,182.336723,-27.982195,8.143,1571.1337704262626,0.2923328067198114,0.7206807
189,129810365,54.2559755302322,-41.5276608874745,8.8863,1386.0712504313635,0.2923476147051668,0.86917114
194,305675525,263.021165100453,-61.9506850992897,8.247,1624.9898836223056,0.2965474462837609,0.8534404000000001
210,394452884,153.762193339348,-81.2040290329088,8.7663,1598.4528502756996,0.3026647570702365,0.7192105999999999
213,266816672,30.9363027936843,-19.8891831993734,9.78896,1386.0447084966906,0.3031493112996212,0.726073
214,263035184,264.489172244228,-39.1896091939861,8.262,1628.0235942584588,0.3033045928117687,0.72670245
220,270288280,215.416799856746,-33.9071448593974,9.2799,1600.0851803959806,0.3057096814221238,0.87927306
224,161262226,341.204607769871,-48.1702469088126,9.9544,1325.377264475038,0.3073041182512513,0.74219596
235,293619461,59.713154,-51.175823,8.722,1386.0015764105676,0.310654977015506,0.853124
236,439458951,19.2734054637267,-23.238571812392,8.602,1386.1512955590958,0.3111497675222258,0.9694129
243,90836525,239.257827752755,-57.9059809993578,9.5185,1625.0080658433185,0.3138837153549963,0.89206004
247,89239251,58.2002449582892,-29.4363928982816,9.253,1411.0035148039874,0.3144381175777233,0.82383764
252,434515577,190.062678664777,-18.8002608720014,8.4649,1571.1064750803002,0.3166313276677385,0.8800353999999999
253,164775666,27.2255977289486,-20.8929431922706,9.93552,1386.2470303875973,0.3168471059631935,0.71374345
255,123625970,89.218138775311,-21.7818592455937,8.5404,1468.315243852238,0.3171271639960525,0.90380883
258,231048083,28.9510438203405,-55.0721728014117,6.5436,1354.437859087897,0.3179090439129232,1.008364
269,383858742,222.179740819097,-42.0968957735536,8.8027,1600.3946405332924,0.3211244398827467,0.94261444
