Name "LOFAR Lum (x1E14 ergs/s/Hz)" "Soft X-ray Lum (x1E28 ergs/s)" "Uncert. Lofar Lum" "Literature Rotation Period" "Rotation Period" "Flare Rate" "N Flares" "N Sectors" TIC
"CW UMa" 4.23 5.37 0.44 7.77 7.738520 2.143820 52 1 22
"LP 259-39" 10.11 <18.7 2.75 ? 1.712161 0.554899 14 1 21
"G 240-45" 12.3 0.02 1.57 "" 2.976031 0.317084 93 11 14
"GJ 1151" 0.63 0.02 0.15 125 3.865651 0.523777 13 1 22
"WX Uma" 0.45 0.36 0.09 0.78 7.559328 0.325179 9 1 21
"GJ 450" 0.54 0.66 0.2 23 3.734007 0.247140 6 1 22
"GJ 3861" 3.64 3.36 0.57 "" 6.839509 0.809872 54 3 15
"2MASS J09481615+5114518" 28.71 <8.44 2.27 "" 3.754329 0.431211 12 1 21
"LP 212-62" 28.34 0.38 1.55 60.75 1.371326 1.054310 31 1 21
"DO Cep" 0.92 0.23 0.1 0.41 4.635793 0.980821 72 3 16
"GJ 625" 0.8 0.04 0.09 79.8 7.512016 0.038294 3 3 16
"DG CVn" 2.5 10.72 0.8 0.11 0.268145 4.456326 88 1 23
"CR Dra" 43.38 36.65 2.46 1.98 1.973435 2.550169 243 4 16
"LP 169-22" 1.03 <0.03 0.48 "" 3.912086 0.256142 14 2 21
"2MASS J14333139+3417472" 30.82 0.83 4.88 "" 0.143537 1.334012 26 1 23
